,identifier,score,activity,scheme
458,ZINC06884371|decoys_final|mol2|2279|dock5,11.571514462277554,0,hs2
240,ZINC08915325|decoys_final|mol2|6911|dock2,11.433934419960497,0,hs2
258,ZINC14129426|decoys_final|mol2|5411|dock5,11.428073676132001,0,hs2
281,ZINC08985849|decoys_final|mol2|2218|dock5,11.42301543688913,0,hs2
654,ZINC49120969|decoys_final|mol2|1647|dock4,11.398210173518533,0,hs2
1101,ZINC18119232|decoys_final|mol2|6615|dock3,11.36006427140431,0,hs2
331,ZINC13452436|decoys_final|mol2|4999|dock3,11.35853435125387,0,hs2
239,ZINC58367398|decoys_final|mol2|6195|dock3,11.348426666666667,0,hs2
791,ZINC04848837|decoys_final|mol2|1411|dock5,11.325617123336166,0,hs2
387,ZINC04553373|decoys_final|mol2|2166|dock4,11.28891458958514,0,hs2
271,ZINC38640019|decoys_final|mol2|6147|dock4,11.283392010140659,0,hs2
1512,ZINC40707076|decoys_final|mol2|1477|dock3,11.260117011242013,0,hs2
87,ZINC15225674|decoys_final|mol2|18|dock3,11.252095958335413,0,hs2
409,ZINC17310848|decoys_final|mol2|4123|dock1,11.238900425318988,0,hs2
546,ZINC61949437|decoys_final|mol2|6347|dock1,11.134679679741467,0,hs2
156,CHEMBL392369|actives_final|mol2|164|dock5,11.036483786786555,1,hs2
1011,ZINC09292709|decoys_final|mol2|397|dock1,11.024186700159362,0,hs2
250,ZINC02709390|decoys_final|mol2|6051|dock4,11.0131364874717,0,hs2
289,ZINC49804167|decoys_final|mol2|4325|dock2,11.008883289659343,0,hs2
294,CHEMBL390629|actives_final|mol2|27|dock5,11.006621268656716,1,hs2
444,ZINC63062023|decoys_final|mol2|246|dock1,10.991656286057385,0,hs2
4783,ZINC39921230|decoys_final|mol2|2798|dock3,10.915985842994715,0,hs2
237,CHEMBL243669|actives_final|mol2|76|dock4,10.902203506157347,1,hs2
131,ZINC17185850|decoys_final|mol2|370|dock3,10.891579175979025,0,hs2
414,ZINC35201578|decoys_final|mol2|4772|dock2,10.85498421464219,0,hs2
514,ZINC03909694|decoys_final|mol2|4589|dock5,10.831510625308148,0,hs2
61,ZINC67373062|decoys_final|mol2|1309|dock5,10.784299281232753,0,hs2
133,ZINC36547552|decoys_final|mol2|4776|dock5,10.726338987099858,0,hs2
267,ZINC48949522|decoys_final|mol2|1746|dock5,10.720911792731627,0,hs2
299,ZINC18623173|decoys_final|mol2|497|dock4,10.620462340342263,0,hs2
297,ZINC03843554|decoys_final|mol2|4136|dock3,10.609522222222221,0,hs2
743,ZINC08394118|decoys_final|mol2|4444|dock5,10.560392171387612,0,hs2
946,ZINC61406174|decoys_final|mol2|6798|dock5,10.549708324110505,0,hs2
228,ZINC43225453|decoys_final|mol2|4361|dock1,10.520644671975731,0,hs2
628,ZINC37351174|decoys_final|mol2|3498|dock1,10.49513361190731,0,hs2
411,ZINC42958234|decoys_final|mol2|6630|dock5,10.494244533123148,0,hs2
478,ZINC40928612|decoys_final|mol2|3773|dock1,10.492394865525673,0,hs2
386,ZINC49279899|decoys_final|mol2|229|dock3,10.491818589027849,0,hs2
320,ZINC67196794|decoys_final|mol2|2115|dock4,10.459435445093465,0,hs2
708,ZINC43245792|decoys_final|mol2|6578|dock3,10.457438938422904,0,hs2
488,ZINC63818889|decoys_final|mol2|4931|dock4,10.440802377988902,0,hs2
489,ZINC36034393|decoys_final|mol2|5579|dock2,10.391288410731503,0,hs2
994,ZINC43284143|decoys_final|mol2|6639|dock4,10.364362811745695,0,hs2
2061,ZINC40701917|decoys_final|mol2|1634|dock3,10.281958434055248,0,hs2
33,ZINC20324816|decoys_final|mol2|1620|dock3,10.27438987101381,0,hs2
381,CHEMBL243669|actives_final|mol2|77|dock3,10.245212254138956,1,hs2
3395,ZINC03307125|decoys_final|mol2|1616|dock2,10.237297985152647,0,hs2
3158,ZINC35851688|decoys_final|mol2|3245|dock5,10.23374946161141,0,hs2
383,ZINC12694549|decoys_final|mol2|4247|dock2,10.215255681818181,0,hs2
400,ZINC32127292|decoys_final|mol2|3203|dock2,10.209997561342984,0,hs2
897,ZINC00483148|decoys_final|mol2|1310|dock1,10.171954458062967,0,hs2
1254,ZINC22419239|decoys_final|mol2|3702|dock1,10.16404145252869,0,hs2
640,ZINC50361782|decoys_final|mol2|6346|dock3,10.13762349484103,0,hs2
623,ZINC43757544|decoys_final|mol2|2855|dock3,10.094401511394189,0,hs2
4658,ZINC35499203|decoys_final|mol2|4721|dock2,10.073857844311377,0,hs2
169,ZINC49820465|decoys_final|mol2|1193|dock2,10.050490683690892,0,hs2
1933,ZINC13778563|decoys_final|mol2|3692|dock3,10.028863782969236,0,hs2
1593,ZINC43283232|decoys_final|mol2|6638|dock2,10.001444926513502,0,hs2
105,CHEMBL392695|actives_final|mol2|150|dock1,9.967021203823137,1,hs2
368,ZINC46865781|decoys_final|mol2|6193|dock5,9.930387724608252,0,hs2
2299,ZINC37425281|decoys_final|mol2|15|dock1,9.916320663233407,0,hs2
4,ZINC01636690|decoys_final|mol2|1766|dock5,9.88046459125604,0,hs2
348,ZINC40060099|decoys_final|mol2|3578|dock5,9.855418982238204,0,hs2
1212,ZINC43283538|decoys_final|mol2|1831|dock5,9.851163756621075,0,hs2
675,ZINC36766014|decoys_final|mol2|3492|dock4,9.809142320455146,0,hs2
175,ZINC34924022|decoys_final|mol2|4817|dock2,9.802942245136268,0,hs2
376,ZINC14968406|decoys_final|mol2|5507|dock1,9.775540163540164,0,hs2
111,ZINC04483176|decoys_final|mol2|2272|dock3,9.756136971076241,0,hs2
325,ZINC05557003|decoys_final|mol2|2019|dock1,9.744084745637876,0,hs2
443,ZINC11995193|decoys_final|mol2|1617|dock2,9.73593208610399,0,hs2
552,ZINC34719981|decoys_final|mol2|5622|dock1,9.733489121676067,0,hs2
148,ZINC43511084|decoys_final|mol2|2696|dock2,9.730225359590042,0,hs2
398,ZINC02770515|decoys_final|mol2|914|dock5,9.718491161315516,0,hs2
308,ZINC02466307|decoys_final|mol2|4145|dock5,9.714210581732035,0,hs2
956,ZINC43265156|decoys_final|mol2|6329|dock5,9.691544462855562,0,hs2
762,ZINC00017086|decoys_final|mol2|2318|dock4,9.646855455292659,0,hs2
438,ZINC06465599|decoys_final|mol2|2206|dock4,9.640481896045834,0,hs2
1618,ZINC01047187|decoys_final|mol2|2866|dock4,9.63097713398718,0,hs2
1323,ZINC43260343|decoys_final|mol2|6783|dock1,9.628828918936456,0,hs2
3,ZINC40247712|decoys_final|mol2|2636|dock4,9.611888853570672,0,hs2
4012,ZINC59170751|decoys_final|mol2|4072|dock3,9.587353245820061,0,hs2
496,ZINC44676125|decoys_final|mol2|4784|dock3,9.558564905414222,0,hs2
516,ZINC39330772|decoys_final|mol2|837|dock2,9.522173322840843,0,hs2
361,ZINC23305283|decoys_final|mol2|5920|dock4,9.504089241719132,0,hs2
420,ZINC04748201|decoys_final|mol2|960|dock3,9.500596236777008,0,hs2
1550,ZINC66140544|decoys_final|mol2|2772|dock1,9.500433397336408,0,hs2
417,ZINC12558105|decoys_final|mol2|520|dock4,9.499258684438766,0,hs2
446,ZINC44582852|decoys_final|mol2|2857|dock3,9.494514989032416,0,hs2
1247,ZINC41010177|decoys_final|mol2|6489|dock1,9.491533880900487,0,hs2
449,ZINC66929447|decoys_final|mol2|1615|dock3,9.472790095376443,0,hs2
643,ZINC63814540|decoys_final|mol2|5378|dock1,9.462796352583586,0,hs2
1769,ZINC37332436|decoys_final|mol2|2441|dock3,9.428720166850908,0,hs2
574,ZINC50362500|decoys_final|mol2|6651|dock2,9.40949094124278,0,hs2
945,ZINC63175751|decoys_final|mol2|2969|dock1,9.404831971110026,0,hs2
472,ZINC11310827|decoys_final|mol2|5708|dock5,9.389737368998855,0,hs2
415,ZINC12302248|decoys_final|mol2|5608|dock1,9.345172594142259,0,hs2
548,ZINC48971715|decoys_final|mol2|2148|dock1,9.34173862107343,0,hs2
830,ZINC42957639|decoys_final|mol2|6627|dock1,9.341053443739664,0,hs2
1370,ZINC43264075|decoys_final|mol2|6635|dock5,9.339389559491392,0,hs2
797,ZINC03334209|decoys_final|mol2|3034|dock5,9.334000083306558,0,hs2
767,ZINC40334335|decoys_final|mol2|3452|dock2,9.327722291644253,0,hs2
406,ZINC66544761|decoys_final|mol2|5946|dock2,9.327225194848266,0,hs2
456,ZINC08808592|decoys_final|mol2|3182|dock2,9.318602083657288,0,hs2
1638,ZINC21011903|decoys_final|mol2|104|dock4,9.313416877100588,0,hs2
586,ZINC31056554|decoys_final|mol2|531|dock4,9.296568093385215,0,hs2
434,ZINC06391298|decoys_final|mol2|2068|dock1,9.294584664157524,0,hs2
601,ZINC04081834|decoys_final|mol2|2267|dock4,9.29397820676258,0,hs2
1518,ZINC43258666|decoys_final|mol2|6222|dock1,9.263740347063532,0,hs2
470,ZINC19809611|decoys_final|mol2|2330|dock3,9.26369348659004,0,hs2
537,ZINC21263578|decoys_final|mol2|2234|dock2,9.255289241075609,0,hs2
403,ZINC59041238|decoys_final|mol2|5485|dock2,9.236465964481267,0,hs2
569,ZINC17226334|decoys_final|mol2|727|dock3,9.18455796948816,0,hs2
2452,ZINC58236334|decoys_final|mol2|1803|dock1,9.171251366593108,0,hs2
393,ZINC38648149|decoys_final|mol2|4308|dock1,9.16681194511703,0,hs2
455,CHEMBL470767|actives_final|mol2|139|dock1,9.147967732161794,1,hs2
1065,ZINC37581085|decoys_final|mol2|3642|dock2,9.13232144276776,0,hs2
561,ZINC32502801|decoys_final|mol2|481|dock1,9.119183965640659,0,hs2
350,ZINC51336610|decoys_final|mol2|3921|dock3,9.108642336324454,0,hs2
2603,ZINC63437151|decoys_final|mol2|3122|dock5,9.103355353228451,0,hs2
4728,ZINC07987350|decoys_final|mol2|6459|dock1,9.098024830261881,0,hs2
1181,ZINC65134886|decoys_final|mol2|2212|dock5,9.091054682742662,0,hs2
395,ZINC44815272|decoys_final|mol2|1998|dock2,9.071480314960628,0,hs2
609,ZINC56936635|decoys_final|mol2|453|dock5,9.049303988035893,0,hs2
964,ZINC34955885|decoys_final|mol2|2385|dock4,9.036670024088071,0,hs2
2809,ZINC13768264|decoys_final|mol2|2891|dock5,9.032055720885062,0,hs2
460,ZINC33131689|decoys_final|mol2|1089|dock2,9.012756306843423,0,hs2
1231,ZINC02215281|decoys_final|mol2|3|dock3,8.996599284273685,0,hs2
4540,ZINC37054690|decoys_final|mol2|1214|dock3,8.988565861742043,0,hs2
603,CHEMBL380367|actives_final|mol2|109|dock3,8.98170751380131,1,hs2
467,ZINC39770641|decoys_final|mol2|5181|dock1,8.958670399402763,0,hs2
1744,ZINC50361754|decoys_final|mol2|6247|dock2,8.957515115640994,0,hs2
419,ZINC01103732|decoys_final|mol2|5196|dock4,8.914486204214658,0,hs2
365,ZINC04027652|decoys_final|mol2|656|dock1,8.912903886190147,0,hs2
44,ZINC67373060|decoys_final|mol2|1308|dock4,8.912645066170533,0,hs2
366,ZINC40114164|decoys_final|mol2|5478|dock3,8.875124002211379,0,hs2
450,ZINC59147696|decoys_final|mol2|4679|dock2,8.865717633928572,0,hs2
544,ZINC32109973|decoys_final|mol2|938|dock4,8.865146471982904,0,hs2
1820,ZINC00917610|decoys_final|mol2|1361|dock1,8.856689871916508,0,hs2
768,ZINC42956770|decoys_final|mol2|6568|dock1,8.828921312026043,0,hs2
252,ZINC00762976|decoys_final|mol2|1889|dock3,8.822957672651029,0,hs2
1936,ZINC37379545|decoys_final|mol2|6565|dock5,8.814076218425665,0,hs2
490,ZINC39946161|decoys_final|mol2|597|dock1,8.795150836654576,0,hs2
2548,ZINC43415495|decoys_final|mol2|2048|dock5,8.789527026489882,0,hs2
3766,ZINC59170761|decoys_final|mol2|4073|dock3,8.785932774390247,0,hs2
906,ZINC55308296|decoys_final|mol2|4068|dock2,8.780501955934476,0,hs2
224,ZINC43278979|decoys_final|mol2|1189|dock4,8.774009866102887,0,hs2
3453,ZINC40322890|decoys_final|mol2|3768|dock2,8.759141316083571,0,hs2
507,ZINC42858606|decoys_final|mol2|1700|dock3,8.735758041695984,0,hs2
1063,ZINC64950604|decoys_final|mol2|5193|dock5,8.729541073384446,0,hs2
957,ZINC11887158|decoys_final|mol2|4037|dock5,8.720024868748272,0,hs2
203,ZINC55021824|decoys_final|mol2|1753|dock5,8.718197572591794,0,hs2
557,ZINC37063364|decoys_final|mol2|1583|dock4,8.697742709325786,0,hs2
469,ZINC04864690|decoys_final|mol2|1111|dock4,8.697637898415046,0,hs2
732,ZINC67195544|decoys_final|mol2|6856|dock3,8.682289180078811,0,hs2
468,ZINC02376057|decoys_final|mol2|410|dock5,8.675069741651308,0,hs2
487,CHEMBL470767|actives_final|mol2|141|dock5,8.668261211892165,1,hs2
600,ZINC35422178|decoys_final|mol2|3071|dock4,8.657713727329579,0,hs2
2472,ZINC50163200|decoys_final|mol2|6789|dock2,8.654261873285616,0,hs2
401,ZINC39861580|decoys_final|mol2|2539|dock1,8.648788452165935,0,hs2
660,ZINC09642127|decoys_final|mol2|208|dock3,8.619020719747603,0,hs2
1183,ZINC06501850|decoys_final|mol2|5457|dock3,8.612720140024015,0,hs2
697,ZINC14968402|decoys_final|mol2|5506|dock2,8.594286562203228,0,hs2
1953,ZINC35659397|decoys_final|mol2|6311|dock5,8.582721594218144,0,hs2
429,ZINC08763427|decoys_final|mol2|6007|dock3,8.581630001511316,0,hs2
2473,ZINC50163604|decoys_final|mol2|6437|dock5,8.575415264962384,0,hs2
425,ZINC11790197|decoys_final|mol2|3685|dock5,8.56199167448405,0,hs2
1164,ZINC12073737|decoys_final|mol2|613|dock3,8.553660592991914,0,hs2
509,ZINC38063667|decoys_final|mol2|4306|dock3,8.547545618428668,0,hs2
525,ZINC02083425|decoys_final|mol2|4689|dock5,8.525528065755235,0,hs2
1929,ZINC39637313|decoys_final|mol2|1982|dock2,8.517947087929405,0,hs2
529,ZINC39989766|decoys_final|mol2|446|dock3,8.510684657671165,0,hs2
497,ZINC08869775|decoys_final|mol2|5908|dock3,8.508736373478683,0,hs2
626,ZINC35472359|decoys_final|mol2|5428|dock1,8.49809266609611,0,hs2
520,ZINC31970918|decoys_final|mol2|237|dock5,8.484640621775915,0,hs2
1097,ZINC42957314|decoys_final|mol2|6569|dock5,8.484174464879816,0,hs2
